tau1,tau2,tau3,tau4,p2,p3,p4,g1,g2,g3,g4,stabf
9.815831881,6.802224201,3.506815964,7.511131666,-1.437403272,-0.654288586,-1.605929697,0.496542396,0.990831386,0.338336204,0.57571844,0
8.301049145,0.589078797,4.197879753,1.07431658,-1.378650332,-0.889305499,-1.040585443,0.692500093,0.579518308,0.306712523,0.964457174,1
1.586362457,5.623158034,6.727479156,4.606036602,-0.820159534,-1.914272085,-0.977889002,0.075352756,0.4131514,0.072194871,0.226722866,1
7.321240346,3.145374183,9.962982241,4.516102436,-1.280378756,-1.510223116,-0.669189608,0.290379414,0.644727677,0.851697319,0.665380459,0
8.69611367,7.479651675,8.658321831,7.090704705,-1.784063712,-1.139296509,-0.638903218,0.744631333,0.933782513,0.234042739,0.986327179,0
5.838705587,7.626231201,1.788572044,6.656870718,-1.843177123,-1.821309535,-1.964306355,0.84778128,0.784330441,0.965229089,0.463781597,0
7.432862689,8.225843912,3.085539112,6.376284665,-1.120925017,-0.85323223,-1.704672048,0.726312736,0.851426232,0.474854985,0.873788638,0
5.097549469,8.216671481,5.997421718,2.377505681,-1.688712981,-0.772645229,-1.996038927,0.622483222,0.951594082,0.520247252,0.657640189,0
1.759084897,7.787572805,4.837039523,5.491304274,-1.360457019,-1.88829312,-1.617021593,0.867058947,0.640612761,0.496127091,0.847154836,0
7.822178274,6.753806042,1.706221602,3.158723966,-0.858794115,-1.225815373,-1.511721453,0.630018942,0.118138615,0.166025576,0.128497591,1
3.010473338,9.027002538,8.552979817,8.532802011,-1.244717141,-1.749353331,-1.527432844,0.224549867,0.05424347,0.435006572,0.666048165,0
1.984431663,7.138403839,1.445198762,5.985036187,-1.482315332,-1.716924366,-1.565784463,0.513834179,0.431693381,0.965718848,0.553319483,1
5.947263715,2.852648664,0.663991596,2.754308889,-0.961830424,-0.970890042,-1.116695964,0.891711801,0.106193422,0.675207122,0.208592986,1
