tau1,tau2,tau3,tau4,p2,p3,p4,g1,g2,g3,g4,stabf
9.162567136,2.227556707,7.730933493,3.890131831,-1.877416525,-1.20481184,-1.934180788,0.672690187,0.783850483,0.833626065,0.386476747,0
1.871914445,7.041646138,5.262472367,3.771630776,-1.673230339,-1.868696843,-1.889619836,0.927669546,0.094296678,0.250599959,0.479679587,1
1.540250377,1.460654307,0.880950207,1.758987102,-1.776356532,-1.927390029,-0.781836953,0.814927692,0.867834808,0.346379918,0.836358444,1
6.457284098,7.271745766,1.781607471,7.947065576,-1.694693979,-1.047332478,-1.379700854,0.441705305,0.050488645,0.114633462,0.444959933,1
1.249533188,2.930202945,4.076108552,9.459858574,-1.088183254,-1.563438374,-1.401496703,0.260338767,0.237098905,0.441499774,0.759923653,1
7.326951484,1.476319616,6.297008053,1.330351656,-1.726665556,-1.794079774,-1.108833076,0.58243815,0.676439437,0.586098068,0.473678602,1
9.781393848,9.948265552,3.251706344,9.28646768,-0.55896738,-1.14425844,-0.783761526,0.534415286,0.820106113,0.511112574,0.997422407,0
4.446235644,8.55386709,7.319028775,1.588823799,-0.650764088,-0.613502413,-1.253640444,0.955943355,0.81919965,0.915367786,0.704437447,0
6.376693506,2.416515779,3.899686192,9.756057869,-1.079027414,-1.511090291,-1.468595677,0.564544334,0.386330137,0.959294441,0.649045937,0
4.003056662,2.342390125,3.935977704,8.700413072,-0.795940912,-1.78468925,-1.21805627,0.180367039,0.387241263,0.120050142,0.402089349,1
6.583146278,1.038487753,7.950409584,7.892997164,-1.172505341,-1.159190397,-1.198149037,0.186811011,0.460166011,0.295229451,0.615997231,1
7.95260473,9.658876837,4.904557949,7.700078913,-0.938962332,-1.155966656,-1.681733903,0.567820909,0.923254785,0.66722321,0.59121111,0
0.613029321,2.831426723,4.759508874,2.710632045,-0.527690072,-1.29212168,-1.398456203,0.789097154,0.462155284,0.964991075,0.939348744,0
9.040206967,4.023904734,1.976452191,1.055557867,-1.854691416,-0.620157115,-0.580798101,0.675778748,0.811744927,0.349042862,0.956409986,1
4.801233845,4.599187418,5.33328422,6.230780185,-1.81445816,-0.52190998,-0.629042455,0.708409676,0.789094953,0.768459892,0.224175596,0
2.63538758,2.349709256,2.960524349,4.713883799,-1.233841493,-1.227700269,-0.836911661,0.564999721,0.492092839,0.18450844,0.815229036,0
3.752613035,4.962007871,5.790119966,5.992565175,-1.196636456,-1.535880642,-1.799310363,0.561841089,0.654702901,0.530707807,0.505690766,0
1.862857327,1.627743299,5.668753444,1.718652531,-1.101735517,-0.892201114,-1.693843608,0.138714012,0.755293467,0.104104603,0.446027308,1
1.54310571,2.261423018,3.847972179,5.679323704,-0.747861026,-0.520797671,-0.64311431,0.456308708,0.517390107,0.692218545,0.531000094,0
1.513301842,6.026950935,8.213147731,3.937616054,-1.39486433,-0.767121652,-1.138872622,0.39983221,0.134262445,0.919537722,0.413717135,0
8.041742831,2.279741158,2.739768605,3.897125697,-0.645400957,-1.746239856,-1.19531923,0.963345275,0.196618636,0.520123426,0.610243322,0
1.370621908,5.082226783,8.233291017,5.888325993,-1.429856311,-1.3751833,-0.753901511,0.9927785,0.883691041,0.593939796,0.141991896,0
2.136978063,4.109010773,0.873677293,8.319646506,-0.817907343,-1.737640784,-1.423864333,0.962763024,0.940381603,0.288172399,0.524004864,1
1.212806828,6.205079914,9.518990056,1.562959961,-1.793324479,-1.757667693,-1.199751144,0.080125196,0.914375103,0.516292006,0.760649535,0
1.466384409,0.885430206,2.500708685,3.401675334,-1.183756418,-1.442210967,-1.922031705,0.226979993,0.846107092,0.131334698,0.959027731,1
